,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Occasion,Main Trend
0,Global Desi,Women White Loose Fit Solid Cropped Regular Trousers,Rs. 599,Mid-Rise,Cropped,Loose Fit,,Solid,Hook and Bar,Flat-Front,Woven,Zip,9792771,,
1,Global Desi,Women Navy Cigarette Trousers,Rs. 839,Mid-Rise,Regular,Regular Fit,,Solid,Zip,Flat-Front,Woven,No Fly,1817233,,
2,Global Desi,Women Black Regular Fit Solid Parallel Trousers,Rs. 699,Mid-Rise,Cropped,Regular Fit,,Solid,Zip,Flat-Front,Woven,No Fly,10789360,,
3,Global Desi,Women Khaki Regular Fit Solid Cigarette Trousers,Rs. 979,Mid-Rise,Regular,Regular Fit,,Solid,Slip-On,Flat-Front,Woven,No Fly,4325599,,
4,Global Desi,Women Black Original Regular Fit Solid Culottes,Rs. 979,Mid-Rise,Regular,Regular Fit,Original,Solid,Button,Flat-Front,Woven,,4325600,,
5,Global Desi,Navy Parallel Trousers,Rs. 779,Mid-Rise,Regular,Regular Fit,,Solid,Slip-On,Flat-Front,Woven,No Fly,1817231,,
6,Global Desi,Women Beige Regular Fit Self Design Anti Fit Trousers,Rs. 2599,Mid-Rise,Regular,Regular Fit,,Ethnic Motifs,Slip-On,Flat-Front,Woven,No Fly,12093000,,
7,Global Desi,Women Navy Blue Relaxed Fit Solid Regular Trousers With Embroidered Hem,Rs. 2299,Mid-Rise,Cropped,Straight Fit,Relaxed,Solid,Slip-On,Flat-Front,Woven,,11283216,,
8,Global Desi,Women Blue &amp; Pink Straight Fit Printed Parallel Trousers,Rs. 1299,Mid-Rise,Regular,Straight Fit,,Ethnic Motifs,Slip-On,Flat-Front,Woven,No Fly,11424256,,
9,Global Desi,Women Pink Original Regular Fit Solid Culottes,Rs. 979,Mid-Rise,Three-Fourth Length,Regular Fit,,Solid,Button,Flat-Front,Woven,Zip,2518175,,
10,Global Desi,Women Navy Blue Regular Fit Solid Regular Trousers,Rs. 979,Mid-Rise,Three-Fourth Length,Regular Fit,,Solid,Button,Flat-Front,Woven,Zip,6514744,,
11,Global Desi,Women Pink Solid Trousers,Rs. 824,Mid-Rise,Regular,Regular Fit,,Solid,Button,Flat-Front,Woven,Zip,1791922,,
12,Global Desi,Girls Blue Regular Fit Solid Cigarette Trousers,Rs. 1499,Mid-Rise,Cropped,Regular Fit,,Solid,Slip-On,Pleated,Woven,No Fly,11739072,,
13,Global Desi,Women Beige Regular Fit Solid Culottes,Rs. 979,Mid-Rise,Regular,Regular Fit,,Solid,Hook and Bar,Flat-Front,Woven,Zip,7817407,,
14,Global Desi,Women Navy Blue Regular Fit Solid Culottes,Rs. 979,Mid-Rise,Cropped,Regular Fit,,Solid,Hook and Bar,Flat-Front,Woven,Zip,7817425,,
15,Global Desi,Women Blue Solid Trousers,Rs. 824,Mid-Rise,Regular,Regular Fit,,Solid,Button,Flat-Front,Woven,Zip,1852091,,
16,Global Desi,Women Mustard Yellow &amp; Pink Straight Fit Printed Cropped Regular Trousers,Rs. 1299,Mid-Rise,Cropped,Straight Fit,,Geometric,Slip-On,Flat-Front,Woven,No Fly,11283244,,
17,Global Desi,Women Navy Blue Regular Fit Embroidered Culottes,Rs. 1999,Mid-Rise,Three-Fourth Length,Regular Fit,,Floral,Slip-On,Flat-Front,Woven,No Fly,12092986,,
18,Global Desi,Women Black Regular Fit Solid Parallel Trousers,Rs. 1499,Mid-Rise,Cropped,Regular Fit,,Solid,Slip-On,Flat-Front,Woven,Zip,12092992,,
19,Global Desi,Women Coral Red Solid Parallel Trousers,Rs. 879,Mid-Rise,Regular,Regular Fit,,Solid,Button,Flat-Front,Woven,Zip,1852093,,
20,Global Desi,Women Black Regular Fit Solid Trousers,Rs. 979,Mid-Rise,Regular,Regular Fit,Original,Solid,Slip-On,Flat-Front,Woven,,1852095,,
21,Global Desi,Women Black Solid Parallel Trousers,Rs. 839,Mid-Rise,Regular,Regular Fit,,Solid,Button,Flat-Front,Woven,Zip,1952856,,
22,Global Desi,Women Pink Regular Fit Solid Trousers,Rs. 979,Mid-Rise,Regular,Regular Fit,,Solid,Button,Flat-Front,Woven,Zip,4452582,,
23,Global Desi,Women Blue Straight Fit Solid Parallel Trousers,Rs. 979,Mid-Rise,Regular,Straight Fit,,Solid,Zip,Flat-Front,Woven,Zip,6514742,,
24,Global Desi,Women Red Regular Fit Solid Casual Culottes,Rs. 979,Mid-Rise,Three-Fourth Length,Regular Fit,,Solid,Button,Flat-Front,Woven,Zip,6514757,,
25,Global Desi,Women Blue Regular Fit Solid Regular Trousers,Rs. 979,Mid-Rise,Three-Fourth Length,Regular Fit,,Solid,Button,Flat-Front,Woven,Zip,6514745,,
26,Global Desi,Women Beige Regular Fit Printed Regular Cropped Trousers,Rs. 1259,Mid-Rise,Cropped,Regular Fit,,Ethnic Motifs,Hook and Bar,Flat-Front,Woven,Zip,7817443,,
27,Global Desi,Women Red Regular Fit Solid Parallel Trousers,Rs. 1049,Mid-Rise,Regular,Regular Fit,,Solid,Button,Flat-Front,Woven,Zip,7817473,,
28,Global Desi,Pink Solid Regular Fit Coloured Pants,Rs. 1049,,,Regular Fit,,,,,,,7164385,Casual,
29,Global Desi,Women Khaki Regular Fit Solid Cropped Regular Trousers,Rs. 799,Mid-Rise,Cropped,Regular Fit,,Solid,Slip-On,Flat-Front,Woven,No Fly,10789398,,
30,Global Desi,Women Beige Solid Cropped Parallel Trousers,Rs. 979,Mid-Rise,Cropped,Regular Fit,,Solid,Zip,Flat-Front,Woven,No Fly,10699768,,
31,Global Desi,Women Black Regular Fit Solid Parallel Trousers,Rs. 824,Mid-Rise,Regular,Regular Fit,,Solid,Button,Flat-Front,Woven,Zip,1852090,,
32,Global Desi,Women White Regular Fit Solid Regular Trousers,Rs. 764,Mid-Rise,Cropped,Regular Fit,,Geometric,Slip-On,Flat-Front,Woven,Zip,8791227,,
33,Global Desi,Women Black Solid Parallel Trousers,Rs. 1119,Mid-Rise,Regular,Regular Fit,,Solid,Button,Flat-Front,Woven,Zip,1791924,,
34,Global Desi,Women Off-White Regular Fit Solid Parallel Trousers,Rs. 1049,Mid-Rise,Regular,Regular Fit,,Solid,Button,Flat-Front,Woven,Zip,7817523,,
35,Global Desi,Women Black &amp; Golden Regular Fit Printed Regular Trousers,Rs. 594,Mid-Rise,Cropped,Regular Fit,,Geometric,Zip,Flat-Front,Woven,No Fly,10366381,,
36,Global Desi,Women Rust Orange Parallel Trousers,Rs. 779,Mid-Rise,Regular,Regular Fit,,Solid,Slip-On,Flat-Front,Woven,No Fly,1817232,,
37,Global Desi,Women Olive Green &amp; Navy Blue Regular Fit Printed Drop Crotch Trousers,Rs. 474,Mid-Rise,Cropped,Regular Fit,,Geometric,Slip-On,Pleated,Woven,No Fly,10374955,,
38,Global Desi,Women Black Regular Fit Printed Cropped Regular Trousers,Rs. 764,Mid-Rise,Cropped,Regular Fit,,Geometric,Hook and Bar,Flat-Front,Woven,Zip,8791071,,
39,Global Desi,Women Off-White Regular Fit Solid Trousers,Rs. 824,Mid-Rise,Cropped,Regular Fit,,Solid,Button,Flat-Front,Woven,Zip,1791929,,
40,Global Desi,Women Off-White Relaxed Straight Fit Solid Parallel Trousers,Rs. 1999,Mid-Rise,Regular,Straight Fit,Relaxed,Solid,Zip,Flat-Front,Woven,,11283240,,
41,Global Desi,Women Blue Relaxed Loose Fit Solid Parallel Trousers,Rs. 749,Mid-Rise,Regular,Loose Fit,Relaxed,Solid,Button,Flat-Front,Woven,,2115640,,
42,Global Desi,Women Navy Blue Regular Fit Printed Regular Trousers,Rs. 1999,Mid-Rise,Regular,Regular Fit,,Solid,Zip,Flat-Front,Woven,Zip,10374999,,
43,Global Desi,Women Cream-Coloured Solid Parallel Trousers,Rs. 879,Mid-Rise,Regular,Regular Fit,,Solid,Button,Flat-Front,Woven,Zip,1952855,,
44,Global Desi,Women Cream-Coloured &amp; Brown Regular Fit Printed Trousers,Rs. 559,Mid-Rise,Regular,Regular Fit,,Geometric,Hook and Bar,Flat-Front,Woven,Zip,10366331,,
45,Global Desi,Women Black &amp; Grey Regular Fit Printed Culottes,Rs. 639,Mid-Rise,Cropped,Regular Fit,,Abstract,Slip-On,Flat-Front,Woven,No Fly,10247035,,
46,Global Desi,Women Black Parallel Trousers,Rs. 779,Mid-Rise,Regular,Loose Fit,,Solid,Slip-On,Flat-Front,Woven,No Fly,1817230,,
47,Global Desi,Women Mustard Yellow &amp; White Relaxed Straight Fit Printed Regular Trousers,Rs. 749,Mid-Rise,Cropped,Straight Fit,Relaxed,Striped,Slip-On,Flat-Front,Woven,,11283246,,
