,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Collar,Lining Fabric,Number of Pockets,Sleeve Length,Type,Hemline,Occasion,Features
0,HIGHLANDER,Men Blue Solid Denim Jacket,Rs. 1159,,Regular,,,Solid,Zip,,,,10874690,,Stand Collar,Unlined,4,Long Sleeves,Denim Jacket,,,
1,HRX by Hrithik Roshan,Men Navy Blue Solid Padded Jacket,Rs. 1999,,Regular,,,Solid,Zip,,,,11846940,,Mock Collar,Polyester,2,Long Sleeves,Padded Jacket,,,
2,max,Men Blue Solid Denim Jacket,Rs. 1699,,Regular,,,Solid,,,,,12688094,,Spread Collar,Cotton,,Long Sleeves,Denim Jacket,Straight,Casual,
3,Campus Sutra,Men Off-White Solid Tailored Jacket,Rs. 1999,,Regular,,,Solid,Button,,,,10890976,,Hooded,Cotton,2,Long Sleeves,Tailored Jacket,,,
4,Roadster,Maroon &amp; Navy Reversible Quilted Jacket,Rs. 1399,,Regular,,,Self Design,Zip,,,,1279417,,Mock Collar,Polyester,,Long Sleeves,Quilted Jacket,,,Reversible
5,HIGHLANDER,Men Burgundy Solid Leather Jacket,Rs. 1639,,Regular,,,Solid,Zip,,,,10607532,,Stand Collar,Unlined,2,Long Sleeves,Leather Jacket,,,
6,GANT,Men Khaki Solid Tailored Jacket,Rs. 16149,,Regular,,,Solid,Zip,,,,12147132,,Spread Collar,Cotton,2,Long Sleeves,Tailored Jacket,,,
7,Campus Sutra,Men Blue Solid Denim Jacket,Rs. 1999,,Regular,,,Solid,Button,,,,10605208,,Hooded,Cotton,4,Long Sleeves,Denim Jacket,,,
8,Roadster,Men Green Solid Bomber Jacket,Rs. 1999,,Regular,,,Solid,Zip,,,,4929154,,Mock Collar,Polyester,3,Long Sleeves,Bomber,,,
9,HERE&amp;NOW,Men Olive Green Solid Bomber Jacket,Rs. 1549,,Regular,,,Solid,Zip,,,,2118807,,Mock Collar,Polyester,3,Long Sleeves,Bomber,,,
10,HIGHLANDER,Men Black Solid Leather Jacket,Rs. 1639,,Regular,,,Solid,Zip,,,,10721006,,Spread Collar,Unlined,3,Long Sleeves,Leather Jacket,,,
11,Reebok Classic,Men Black &amp; White Colourblocked Electrogen Anorak Lightweight Sporty Jacket,Rs. 4999,,Regular,,,Colourblocked,Zip,,,,11673746,,Mock Collar,Mesh,,Long Sleeves,Sporty Jacket,,,Lightweight
12,Roadster,Men Blue &amp; Burgundy Checked Reversible Bomber Jacket,Rs. 1209,,Regular,,,,Zip,,,,1901432,,Stand Collar,Unlined,4,Long Sleeves,Bomber,,,Reversible
13,HIGHLANDER,Men Solid Tailored Jacket,Rs. 1439,,Regular,,,Solid,Button,,,,11044448,,Mandarin Collar,Polyester,4,Long Sleeves,Tailored Jacket,,,
14,WROGN,Men Navy Blue Solid Slim Fit Bomber Jacket,Rs. 2089,,Regular,,,Solid,Zip,,,,10187293,,Mandarin Collar,Polyester,2,Long Sleeves,Bomber,,,
15,HRX by Hrithik Roshan,Men Maroon Solid Sporty Jacket,Rs. 1619,,Regular,,,Solid,Zip,,,,11846986,,Spread Collar,Polyester,2,Long Sleeves,Sporty Jacket,,,
16,Nike,Men Black Solid Standard Fit AS HDIE FZ HPRDRY LT Dri-Fit Training Jacket,Rs. 1997,,Regular,,,Solid,Zip,,,,10139135,,Hooded,Unlined,2,Long Sleeves,Sporty Jacket,,,
17,Roadster,Men Black Solid Asymmetric Closure Biker Jacket,Rs. 2149,,Regular,,,Solid,Zip,,,,1894557,,Lapel Collar,Polyester,,Long Sleeves,Biker Jacket,,,Asymmetric Closure
18,Campus Sutra,Men Black Self Design Quilted Jacket,Rs. 1999,,Regular,,,Self Design,Zip,,,,6996804,,Hooded,Nylon,,Long Sleeves,Quilted Jacket,Straight,,
19,WROGN,Men Black Solid Biker Jacket,Rs. 2419,,Regular,,,Solid,Zip,,,,6832163,,Stand Collar,Polyester,4,Long Sleeves,Biker Jacket,,,
20,Roadster,Black Solid Quilted Jacket,Rs. 1649,,Regular,,,Solid,Zip,,,,7295088,,Hooded,Polyester,3,Long Sleeves,Quilted Jacket,,,
21,HRX by Hrithik Roshan,Men Black Training Rapid Dry Solid Sporty Jacket,Rs. 1099,,Regular,,,Solid,Zip,,,,9445565,,Mandarin Collar,Unlined,2,Long Sleeves,Sporty Jacket,,,
22,Campus Sutra,Men Grey &amp; Black Colourblocked Windcheater Padded Jacket,Rs. 1409,,Regular,,,Colourblocked,Zip,,,,12252888,,Hooded,Polyester,,Long Sleeves,Padded Jacket,,,Windcheater
23,Roadster,Men Navy Blue Solid Leather Jacket,Rs. 1499,,Regular,,,Solid,Zip,,,,7116623,,Mock Collar,Polyester,2,Long Sleeves,Leather Jacket,,,
24,Campus Sutra,Men Blue Solid Denim Lightweight Jacket,Rs. 1999,,Regular,,,,Button,,,,10622780,,Hooded,Cotton,4,Long Sleeves,Denim Jacket,,,Lightweight
25,LOCOMOTIVE,Men Black Solid Denim Jacket,Rs. 1499,,Regular,,,Solid,Button,,,,10849184,,Hooded,Unlined,4,Long Sleeves,Denim Jacket,,,
26,Roadster,Men Black Solid Padded Jacket,Rs. 1749,,Regular,,,Solid,Zip,,,,1894551,,Mock Collar,Polyester,3,Long Sleeves,Padded Jacket,,,
27,High Star,Men Black Solid Denim Jacket,Rs. 1028,,Regular,,,Solid,Button,,,,11275832,,Spread Collar,Unlined,4,Long Sleeves,Denim Jacket,,,
28,Allen Solly Sport,Men Navy Blue Colourblocked Bomber Jacket,Rs. 1499,,Regular,,,Colourblocked,Zip,,,,10656344,,Mandarin Collar,Polyester,3,Long Sleeves,Bomber,,,
29,Roadster,Men Olive Green Solid Padded Jacket,Rs. 1249,,Regular,,,Solid,Zip,,,,5614974,,Mock Collar,Polyester,4,Long Sleeves,Padded Jacket,,,
30,Maniac,Men Navy Blue Colourblocked Bomber,Rs. 605,,Regular,,,Abstract,Zip,,,,7478871,,Mandarin Collar,Unlined,2,Long Sleeves,Bomber,,,
31,Allen Solly Sport,Men Olive Green Solid Varsity Jacket,Rs. 1499,,Regular,,,Solid,Zip,,,,10656346,,Mock Collar,Polyester,3,Long Sleeves,Varsity Jacket,,,
32,HERE&amp;NOW,Men Navy Blue Solid Padded Jacket,Rs. 1549,,Regular,,,Solid,Zip,,,,2118803,,Stand Collar,Polyester,3,Long Sleeves,Padded Jacket,,,
33,Roadster,Men Blue Checked Reversible Tailored Jacket,Rs. 1209,,Regular,,,,Zip,,,,1901431,,Mandarin Collar,Unlined,4,Long Sleeves,Tailored Jacket,,,Reversible
34,HRX by Hrithik Roshan,Men Black &amp; Grey Camouflage Printed Running Bomber Jacket,Rs. 1899,,Regular,,,Camouflage,Zip,,,,4453300,,Stand Collar,Polyester,2,Long Sleeves,Bomber,,,
35,Roadster,Men Black Solid Denim Jacket,Rs. 1249,,Regular,,,Solid,Button,,,,6411363,,Spread Collar,Unlined,4,Long Sleeves,Denim Jacket,,,
36,Allen Solly Sport,Men Navy Blue Solid Bomber Jacket,Rs. 1499,,Regular,,,Solid,Zip,,,,10656394,,Mock Collar,Polyester,3,Long Sleeves,Bomber,,,
37,Campus Sutra,Men Black Solid Windcheater Bomber Jacket,Rs. 1999,,Regular,,,Solid,Zip,,,,10862118,,Mock Collar,Cotton,,Long Sleeves,Bomber,,,Windcheater
