,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Fade,Shade,Stretch,Waistband,Type of Distress
0,Roadster,Men Black Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 809,Mid-Rise,Regular,Skinny Fit,,,,,,,7139512,Clean Look,No Fade,Dark,Stretchable,With belt loops,
1,HIGHLANDER,Men Black Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 649,Mid-Rise,Regular,Tapered Fit,,,,,,,9162845,Clean Look,No Fade,Dark,Stretchable,With belt loops,
2,LOCOMOTIVE,Men Blue Tapered Fit Mid-Rise Highly Distressed Stretchable Jeans,Rs. 874,Mid-Rise,Regular,Tapered Fit,,,,,,,9838331,Highly Distressed,Light Fade,Light,,With belt loops,Ripped
3,Mast &amp; Harbour,Men Navy Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 849,Mid-Rise,Regular,Skinny Fit,,,,,,,7255268,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
4,Roadster,Men Black Slim Fit Mid-Rise Clean Look Jeans,Rs. 959,Mid-Rise,Regular,Slim Fit,,,,,,,2425787,Clean Look,No Fade,Dark,Non Stretchable,With belt loops,
5,HIGHLANDER,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 649,Mid-Rise,Regular,Slim Fit,,,,,,,9005665,Clean Look,No Fade,Light,Stretchable,With belt loops,
6,Roadster,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 899,Mid-Rise,Regular,Slim Fit,,,,,,,8962403,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
7,HIGHLANDER,Men Navy Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 519,Mid-Rise,Regular,Slim Fit,,,,,,,8931387,Clean Look,No Fade,Dark,Stretchable,With belt loops,
8,WROGN,Men Blue Slim Fit Mid-Rise Jeans,Rs. 1319,Mid-Rise,Regular,Slim Fit,,,,,,,1758520,Clean Look,Light Fade,Light,Stretchable,With belt loops,
9,Roadster,Time Travlr Men Black Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1043,Mid-Rise,Regular,Skinny Fit,,,,,,,2425786,Clean Look,No Fade,Dark,Stretchable,With belt loops,
10,Nautica,Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 3499,Mid-Rise,Regular,Slim Fit,,,,,,,11466466,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
11,HERE&amp;NOW,Men Black Skinny Fit Mid-Rise Highly Distressed Stretchable Jeans,Rs. 999,Mid-Rise,Regular,Skinny Fit,,,,,,,9713665,Highly Distressed,No Fade,Dark,Stretchable,With belt loops,
12,Mast &amp; Harbour,Men Navy Blue Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 849,Mid-Rise,Regular,Tapered Fit,,,,,,,7330632,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
13,max,Men Off-White Regular Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1399,Mid-Rise,Regular,Regular Fit,,,,,,,12671404,Clean Look,No Fade,Coloured,Stretchable,With belt loops,
14,Nautica,Men Black Regular Fit Mid-Rise Clean Look Jeans,Rs. 3499,Mid-Rise,Regular,Regular Fit,,,,,,,11246064,Clean Look,No Fade,Dark,Stretchable,With belt loops,
15,Jack &amp; Jones,Men Navy Blue Regular Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1399,Mid-Rise,Regular,Regular Fit,Clark,,,,,,2523260,Clean Look,Light Fade,Dark,,With belt loops,
16,max,Men Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans,Rs. 1399,Mid-Rise,Cropped,Skinny Fit,,,,,,,12671378,Mildly Distressed,Light Fade,Light,,With belt loops,Cat Scratches
17,U.S. Polo Assn. Denim Co.,Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1539,Mid-Rise,Regular,Slim Fit,,,,,,,2200591,Clean Look,No Fade,Dark,Stretchable,With belt loops,
18,max,Men Blue Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1299,Mid-Rise,Cropped,Tapered Fit,,,,,,,12671532,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
19,max,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1399,Mid-Rise,Regular,Slim Fit,,,,,,,12671482,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
20,Roadster Fast and Furious,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 899,Mid-Rise,Regular,Slim Fit,,,,,,,4451366,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
21,Nautica,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 3499,Mid-Rise,Regular,Slim Fit,,,,,,,11466474,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
22,WROGN,Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1319,Mid-Rise,Regular,Slim Fit,,,,,,,12422336,Clean Look,No Fade,Dark,Stretchable,With belt loops,
23,LOCOMOTIVE,Men Blue Slim Fit Mid-Rise Highly Distressed Stretchable Jeans,Rs. 1249,Mid-Rise,Regular,Slim Fit,,,,,,,7584915,Highly Distressed,Heavy Fade,Medium,,With belt loops,Ripped
24,Roadster,Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 899,Mid-Rise,Regular,Skinny Fit,,,,,,,10092097,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
25,WROGN,Men Black Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1999,Mid-Rise,Regular,Skinny Fit,,,,,,,11560152,Clean Look,No Fade,Dark,Non Stretchable,With belt loops,
26,Calvin Klein Jeans,Men Navy Blue Slim Fit Low-Rise Clean Look Jeans,Rs. 5599,Low-Rise,Regular,Slim Fit,,,,,,,11599526,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
27,HIGHLANDER,Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 639,Mid-Rise,Regular,Slim Fit,,,,,,,2173989,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
