,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Collar,Hemline,Occasion,Placket,Sleeve Length,Placket Length
0,HERE&amp;NOW,Men Red &amp; Black Regular Fit Checked Casual Shirt,Rs. 749,,Regular,Regular Fit,,Tartan Checks,,,,,2414313,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
1,Campus Sutra,Men Navy Blue &amp; Grey Standard Fit Colourblocked Casual Shirt,Rs. 599,,Regular,Regular Fit,Standard,Colourblocked,,,,,10456354,,Spread Collar,Curved,Casual,,Long Sleeves,
2,HIGHLANDER,Men Blue &amp; White Slim Fit Checked Casual Shirt,Rs. 499,,Regular,Slim Fit,,Grid Tattersall Checks,,,,,2006852,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
3,Roadster,Men Blue Regular Fit Printed Casual Shirt,Rs. 599,,Regular,Regular Fit,,,,,,,1364628,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,Full
4,HIGHLANDER,Highlander White Slim Fit Casual Shirt,Rs. 469,,Regular,Slim Fit,,Solid,,,,,1272502,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
5,MANQ,Men Dusty Pink Slim Fit Solid Knitted Casual Shirt,Rs. 503,,Regular,Slim Fit,,Solid,,,,,11752878,,Mandarin Collar,Curved,Casual,Button Placket,Short Sleeves,
6,HIGHLANDER,Men Green &amp; White Slim Fit Printed Casual Shirt,Rs. 482,,Regular,Slim Fit,,Floral,,,,,11780968,,Spread Collar,Curved,Casual,Button Placket,Short Sleeves,
7,Campus Sutra,Men Blue Standard Regular Fit Checked Casual Shirt,Rs. 599,,Regular,Regular Fit,Standard,Other Checks,,,,,10017043,,Spread Collar,Curved,Casual,,Long Sleeves,
8,HIGHLANDER,Men White &amp; Blue Slim Fit Striped Casual Shirt,Rs. 459,,Regular,Slim Fit,,Horizontal Stripes,,,,,2347552,,Cutaway Collar,Curved,Casual,Button Placket,Long Sleeves,
9,WROGN,Navy Blue Slim Fit Checked Casual Shirt,Rs. 1429,,Regular,Slim Fit,,Micro Checks,,,,,1729391,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
10,Tistabene,Men Green &amp; Yellow Comfort Slim Fit Striped Casual Shirt,Rs. 799,,Regular,Slim Fit,Comfort,Vertical Stripes,,,,,12451334,,Mandarin Collar,Curved,Casual,,Short Sleeves,
11,Roadster,Men Navy Blue Regular Fit Solid Casual Shirt,Rs. 849,,Regular,Regular Fit,,Solid,,,,,11326026,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
12,HIGHLANDER,Highlander White Solid Slim Fit Casual Shirt,Rs. 399,,Regular,Slim Fit,,Solid,,,,,1265384,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
13,LOCOMOTIVE,Men Olive Green Slim Fit Solid Casual Shirt,Rs. 539,,Regular,Slim Fit,,Solid,,,,,5523552,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
14,GANT,Men Navy Blue &amp; Grey Regular Fit Printed Casual Shirt,Rs. 3499,,Regular,Regular Fit,,Micro Ditsy,,,,,11995582,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
15,HIGHLANDER,Men Green Slim Fit Camouflage Print Casual Shirt,Rs. 459,,Regular,Slim Fit,,Camouflage,,,,,2347569,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
16,HERE&amp;NOW,Men White Regular Fit Solid Casual Shirt,Rs. 799,,Regular,Regular Fit,,Solid,,,,,4425878,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
17,WROGN,Men Maroon &amp; White Slim Fit Checked Casual Shirt,Rs. 1209,,Regular,Slim Fit,,Tartan Checks,,,,,10410044,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
18,HIGHLANDER,Men Blue Slim Fit Solid Casual Shirt,Rs. 469,,Regular,Slim Fit,,Solid,,,,,2454222,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
19,HIGHLANDER,Men Maroon Slim Fit Printed Casual Shirt,Rs. 499,,Regular,Slim Fit,,Micro Ditsy,,,,,1979301,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
20,LOCOMOTIVE,Men Blue Slim Fit Faded Denim Casual Shirt,Rs. 699,,Regular,Slim Fit,,Faded,,,,,7942499,,Mandarin Collar,Curved,Casual,Zip,Long Sleeves,
21,max,Men Mustard Yellow Slim Fit Solid Casual Shirt,Rs. 999,,Regular,Slim Fit,,Solid,,,,,12644504,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
22,HIGHLANDER,Men Black &amp; White Slim Fit Printed Casual Shirt,Rs. 482,,Regular,Slim Fit,,Graphic,,,,,11780944,,Spread Collar,Curved,Casual,Button Placket,Short Sleeves,
23,Purple State,Men White Slim Fit Solid Casual Shirt,Rs. 699,,Regular,Slim Fit,,Solid,,,,,6689494,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
24,GANT,Men Navy Blue &amp; White Regular Fit Checked Casual Shirt,Rs. 2449,,Regular,Regular Fit,,Tartan Checks,,,,,11950130,,Button-Down Collar,Curved,Casual,Button Placket,Long Sleeves,
25,HIGHLANDER,Men Blue Slim Fit Solid Denim Casual Shirt,Rs. 735,,Regular,Slim Fit,,Solid,,,,,7164903,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
26,English Navy,Men Black Slim Fit Solid Formal Shirt,Rs. 549,,Regular,Slim Fit,,Solid,,,,,11523938,,Spread Collar,Straight,Formal,Button Placket,Long Sleeves,
27,Roadster,Men Blue Regular Fit Solid Casual Shirt With Half Button Placket,Rs. 584,,Regular,Regular Fit,,Solid,,,,,11008584,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
28,HIGHLANDER,Men White Slim Fit Solid Casual Shirt,Rs. 439,,Regular,Slim Fit,,Solid,,,,,2050688,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
29,max,Men Blue Slim Fit Solid Casual Shirt,Rs. 899,,Regular,Slim Fit,,Solid,,,,,12623122,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
30,Campus Sutra,Men Blue &amp; Grey Regular Fit Colourblocked Casual Shirt,Rs. 599,,Regular,Regular Fit,Standard,Colourblocked,,,,,2012863,,Mandarin Collar,Curved,Casual,,Long Sleeves,
31,Tommy Hilfiger,Men Brown &amp; Navy Blue Slim Fit Checked Casual Shirt,Rs. 1999,,Regular,Slim Fit,,Tartan Checks,,,,,12356376,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
32,Roadster,Men Grey &amp; Black Regular Fit Printed Casual Shirt,Rs. 599,,Regular,Regular Fit,,Conversational,,,,,11896182,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
33,max,Men Off-White &amp; Blue Regular Fit Printed Casual Shirt,Rs. 999,,Regular,Regular Fit,,Floral,,,,,12644488,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
34,GANT,Men White &amp; Grey Regular Fit Printed Casual Shirt,Rs. 4899,,Regular,Regular Fit,,Floral,,,,,12539500,,Button-Down Collar,Curved,Casual,Button Placket,Long Sleeves,
35,HIGHLANDER,Men Grey Slim Fit Solid Casual Shirt,Rs. 499,,Regular,Slim Fit,,Solid,,,,,2948537,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
36,Roadster,Men Navy Blue &amp; Red Regular Fit Self Design Casual Shirt,Rs. 749,,Regular,Regular Fit,Manhattan,Textured,,,,,11896214,,Spread Collar,Curved,Casual,,Long Sleeves,
