,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Fabric,Main Trend,Multipack Set,Neck,Occasion,Pattern,Fabric 2,Number of Pockets,Character,Sleeve Length,Type,Wash Care,Fabric 3,Sustainable
0,HRX by Hrithik Roshan,Men Yellow Printed Round Neck T-Shirt,Rs. 349,,Regular,Regular Fit,,,,,,,1700944,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Printed,,,,,,,,
1,Campus Sutra,Men Blue Colourblocked Round Neck T-shirt,Rs. 379,,Regular,Regular Fit,,,,,,,10016983,,Cotton,Colourblocked,Single,Round Neck,Casual,Colourblocked,,,,,,,,
2,Difference of Opinion,Men Sea Green Solid Round Neck T-shirt,Rs. 499,,Regular,Regular Fit,,,,,,,11077774,,Cotton,New Basics,Single,Round Neck,Casual,Solid,,,,,,,,
3,DILLINGER,Men Navy Blue &amp; Red Striped Round Neck T-shirt,Rs. 479,,Regular,Regular Fit,,,,,,,11067734,,Cotton,New Basics,Single,Round Neck,Casual,Striped,,,,,,,,
4,max,Men Blue Printed Round Neck T-shirt,Rs. 349,,Regular,Slim Fit,,,,,,,12723090,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,,Polyester,,,,,,,
5,DILLINGER,Men Navy Blue Colourblocked Round Neck T-shirt,Rs. 395,,Regular,Regular Fit,,,,,,,7228316,,Cotton,Colourblocked,Single,Round Neck,Casual,Colourblocked,,,,,,,,
6,Roadster,Time Travlr Men Navy Blue Printed Round Neck T-shirt,Rs. 399,,Regular,Regular Fit,,,,,,,2330276,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Printed,,,,,,,,
7,FIDO DIDO,Men Pink Solid Polo Collar Slim Fit T-shirt,Rs. 599,,Regular,Slim Fit,,,,,,,2471500,,Cotton,New Basics,Single,Polo Collar,Casual,Solid,,,,,,,,
8,Rodzen,Men Charcoal Grey &amp; Black Camouflage Print Hooded T-shirt,Rs. 999,,Regular,Regular Fit,,,,,,,12563440,,Cotton,Utility or Military Inspired,Single,Hood,Casual,Printed,,,,,,,,
9,Huetrap,Men Yellow &amp; Green Printed Round Neck T-shirt,Rs. 499,,Regular,Regular Fit,,,,,,,2352649,,Cotton,Tie and Dye,Single,Round Neck,Casual,Printed,,,,,,,,
10,Roadster,Men Maroon Solid Round Neck T-shirt,Rs. 399,,Regular,Regular Fit,,,,,,,2329007,,Cotton,New Basics,Single,Round Neck,Casual,Solid,,,,,,,,
11,RARE RABBIT,Men Pink Solid Polo Collar T-shirt,Rs. 2499,,Regular,Regular Fit,,,Button,,,,12721322,,Cotton,New Basics,Single,Polo Collar,Casual,,,,,,,,,
12,DILLINGER,Men Mustard Yellow Solid Round Neck T-shirt,Rs. 479,,Regular,Regular Fit,,,,,,,11068030,,Cotton,New Basics,Single,Round Neck,Casual,Solid,,,,,,,,
13,Roadster,Men Black &amp; Grey Textured All Over Printed Round Neck T-shirt,Rs. 349,,Regular,Regular Fit,,,,,,,8938197,,Cotton,Geometric Print,Single,Round Neck,Casual,Printed,,,,,,,,
14,HRX by Hrithik Roshan,Men Burgundy Solid Round Neck T-shirt,Rs. 549,,Regular,Regular Fit,,,,,,,10106237,,Cotton,New Basics,Single,Round Neck,Sports,Solid,,,,,,,,
15,Roadster,Men Maroon &amp; Off-White Printed Round Neck T-shirt,Rs. 299,,Regular,Regular Fit,,,,,,,10423580,,Cotton,Graphic Print Others,Single,Round Neck,Casual,Printed,,,,,,,,
16,Campus Sutra,Men Teal Blue &amp; Teal Green Ombre Henley Neck T-shirt,Rs. 359,,Regular,Regular Fit,,,,,,,11582786,,Cotton,Tie and Dye,Single,Henley Neck,Casual,Dyed,,,,,,,,
17,Reebok Classic,Unisex Black &amp; White FS Big Vector Panelled T-Shirt,Rs. 2999,,Regular,Regular Fit,,,Button,,,,11701136,,Polyester,Graphic Print Others,Single,Round Neck,Sports,,,,,,,,,
18,Roadster,Men Indigo Polo Collar T-shirt,Rs. 604,,Regular,Regular Fit,,,,,,,6719002,,Cotton,Tie and Dye,Single,Polo Collar,Casual,Dyed,,,,,,,,
19,max,Men Blue &amp; Black Striped Round Neck T-shirt,Rs. 499,,Regular,Regular Fit,,,,,,,12624982,,Cotton,New Basics,Single,Round Neck,Casual,Striped,,,,,,,,
20,Rigo,Men Blue Solid Round Neck T-shirt,Rs. 419,,Regular,Slim Fit,,,,,,,7480573,,Cotton,Colourblocked,Single,Round Neck,Casual,Solid,,,,,,,,
21,Roadster,Men Pack of 2 T-shirts,Rs. 649,,Regular,Regular Fit,,,,,,,6688085,,Cotton,New Basics,2,Round Neck,Casual,Solid,,,,,,,,
22,Maniac,Men White Printed Round Neck T-shirt,Rs. 379,,Regular,Slim Fit,,,,,,,9156867,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Printed,,,,,,,,
23,Difference of Opinion,Men Coral Solid Round Neck T-shirt,Rs. 499,,Regular,Regular Fit,,,,,,,11077816,,Cotton,New Basics,Single,Round Neck,Casual,Solid,,,,,,,,
24,Marks &amp; Spencer,Men Blue Slim Fit Solid Round Neck T-shirt,Rs. 629,,Regular,Slim Fit,,,,,,,11956916,,Cotton,New Basics,Single,Round Neck,Casual,Solid,,,,,,,,
25,GRITSTONES,Men Olive Green Solid Hood T-shirt,Rs. 449,,Regular,Regular Fit,,,,,,,8069999,,Cotton,New Basics,Single,Hood,Casual,Solid,,,,,,,,
26,max,Men Blue Printed Round Neck T-shirt,Rs. 499,,Regular,Regular Fit,,,,,,,12779220,,Cotton,Abstract,Single,Round Neck,Casual,Printed,,,,,,,,
27,GANT,Men Navy Blue Solid Polo Collar T-shirt,Rs. 4199,,Regular,Regular Fit,,,Button,,,,12012360,,Cotton,New Basics,Single,Polo Collar,Casual,,,,,,,,,
