,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Fade,Shade,Stretch,Waistband,Type of Distress
0,Tokyo Talkies,Women Blue Super Skinny Fit High-Rise Clean Look Jeans,Rs. 664,High-Rise,Regular,Super Skinny Fit,,,,,,,7782711,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
1,Roadster,Women Black Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 674,Mid-Rise,Regular,Skinny Fit,,,,,,,4451395,Clean Look,No Fade,Dark,Stretchable,With belt loops,
2,max,Women Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 999,Mid-Rise,Regular,Slim Fit,,,,,,,12705144,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
3,High Star,Women Black Slim Fit High-Rise Clean Look Stretchable Jeans,Rs. 781,High-Rise,Cropped,Slim Fit,,,,,,,7289168,Clean Look,No Fade,Dark,Stretchable,With belt loops,
4,Tokyo Talkies,Women Navy Blue Super Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 569,Mid-Rise,Regular,Super Skinny Fit,,,,,,,8195011,Clean Look,No Fade,Dark,Non Stretchable,With belt loops,
5,Mast &amp; Harbour,Women Blue Skinny Fit Mid-Rise Low Distress Stretchable Cropped Jeans,Rs. 824,Mid-Rise,Cropped,Skinny Fit,,,,,,,7329814,Low Distress,Light Fade,Medium,,With belt loops,Cat Scratches
6,Roadster,Women Grey Skinny Fit Mid-Rise Clean Look Cropped Stretchable Jeans,Rs. 524,Mid-Rise,Cropped,Skinny Fit,,,,,,,11531502,Clean Look,No Fade,Dark,Stretchable,With belt loops,
7,Marks &amp; Spencer,Women Blue Boyfriend Fit Mid-Rise Mildly Distressed Stretchable Jeans,Rs. 3999,Mid-Rise,Regular,Boyfriend Fit,,,,,,,12378022,Mildly Distressed,Light Fade,Medium,,With belt loops,Ripped
8,Tokyo Talkies,Women Blue Super Skinny Fit Mid-Rise Clean Look Jeans,Rs. 569,Mid-Rise,Regular,Super Skinny Fit,,,Button and Zip,,,,7780975,Clean Look,Light Fade,Medium,Non Stretchable,,
9,Scotch &amp; Soda,Women Blue Boyfriend Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 7794,Mid-Rise,Regular,Boyfriend Fit,,,,,,,8581653,Clean Look,Heavy Fade,Medium,Stretchable,With belt loops,
10,Roadster,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 769,Mid-Rise,Regular,Skinny Fit,,,,,,,1985417,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
11,People,Women Black Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,Rs. 399,High-Rise,Cropped,Skinny Fit,,,,,,,7694173,Clean Look,No Fade,Dark,Stretchable,With belt loops,
12,Tokyo Talkies,Women White Super Skinny Fit Mid-Rise Clean Look Jeans,Rs. 664,Mid-Rise,Cropped,Super Skinny Fit,,,,,,,5617077,Clean Look,No Fade,Light,Stretchable,With belt loops,
13,max,Women Blue Skinny Fit Mid-Rise Clean Look Jeans,Rs. 999,Mid-Rise,Regular,Skinny Fit,,,,,,,12705168,Clean Look,Light Fade,Light,Non Stretchable,With belt loops,
14,Desigual,Women White Skinny Fit Mid-Rise Embroidered Clean Look Stretchable Jeans,Rs. 4434,Mid-Rise,Cropped,Skinny Fit,,,,,,,11877004,Clean Look,No Fade,Light,Stretchable,With belt loops,
