,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Fabric,Neck,Number of Pockets,Pattern,Sleeve Length,Surface Styling,Type,Occasion,Sustainable,Wash Care
0,SASSAFRAS,Women Maroon Solid Basic Jumpsuit,Rs. 999,,,,,,Button,,,,10308671,Polyester,Round Neck,2,Solid,Three-Quarter Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
1,Deewa,Women Mustard Yellow &amp; Blue Printed Cold-Shoulder Basic Jumpsuit,Rs. 747,,,,,,Concealed Zip,,,,10579784,Polyester,Mandarin Collar,2,Printed,Three-Quarter Sleeves,Gathers,Basic Jumpsuit,,,
2,SASSAFRAS,Black Solid Basic Jumpsuit,Rs. 999,,,,,,Button,,,,1052265,Polyester,Round Neck,2,Solid,Three-Quarter Sleeves,Gathers,Basic Jumpsuit,,,
3,Femella,Women Navy Blue Printed Basic Jumpsuit,Rs. 1899,,,,,,,,,,12707314,Viscose Rayon,V-Neck,2,Printed,Three-Quarter Sleeves,,Basic Jumpsuit,Casual,Regular,
4,Mayra,Women Multicoloured Striped Basic Jumpsuit,Rs. 698,,,,,,Zip,,,,10632026,Viscose Rayon,V-Neck,2,Striped,Sleeveless,Waist Tie-Ups,Basic Jumpsuit,,,
5,Marks &amp; Spencer,Women Beige Solid Basic Jumpsuit,Rs. 5999,,,,,,Button,,,,11913246,Linen,Shirt Collar,4,Solid,Short Sleeves,,,Casual,Regular,
6,Cottinfab,Women Black &amp; White Printed Basic Jumpsuit,Rs. 859,,,,,,Concealed Zip,,,,10053767,Polyester,Round Neck,2,Printed,Three-Quarter Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
7,FabAlley,Women Maroon Solid Basic Jumpsuit,Rs. 1100,,,,,,,,,,10956970,Polyester,Shoulder Straps,2,Solid,Short Sleeves,,Basic Jumpsuit,,,Machine Wash
8,DOROTHY PERKINS,Women Navy Blue &amp; Green Tropical Print Basic Jumpsuit,Rs. 3003,,,,,,Button,,,,12026058,Viscose Rayon,V-Neck,,Printed,Sleeveless,,Basic Jumpsuit,,,Machine Wash
9,DOROTHY PERKINS,Women Black &amp; White Front Tie-Up Petite Printed Basic Jumpsuit,Rs. 2983,,,,,,Concealed Zip,,,,12666288,Viscose Rayon,Sweetheart Neck,,Printed,Short Sleeves,,Basic Jumpsuit,Casual,Regular,
10,Deewa,Women Black &amp; Off-White Striped Basic Jumpsuit,Rs. 755,,,,,,Button,,,,11745734,Polyester,Shirt Collar,2,Striped,Three-Quarter Sleeves,,,Casual,Regular,
11,KASSUALLY,Women Black Solid Basic Jumpsuit,Rs. 645,,,,,,Concealed Zip,,,,10523378,Polyester,V-Neck,,Solid,Three-Quarter Sleeves,Embellished,Basic Jumpsuit,,,Hand Wash
12,Kazo,Women Rust Brown Solid Basic Jumpsuit,Rs. 3490,,,,,,Concealed Zip,,,,12809766,Polyester,Off-Shoulder,,Solid,Sleeveless,Gathers,,Casual,Regular,
13,Kazo,Women Green Solid Basic Jumpsuit,Rs. 3990,,,,,,Button,,,,12809792,Polyester,Round Neck,,Solid,Sleeveless,Embellished,,Casual,Regular,
14,Miss Chase,Women Maroon Sequinned Basic Jumpsuit,Rs. 1304,,,,,,Zip,,,,11288546,Polyester,Halter Neck,,Solid,Sleeveless,Embellished,Basic Jumpsuit,,,Hand Wash
15,MABISH by Sonal Jain,Green &amp; Golden Block Print Basic Jumpsuit,Rs. 1430,,,,,,Concealed Zip,,,,7797245,Viscose Rayon,V-Neck,,Printed,Sleeveless,,Basic Jumpsuit,,,Hand Wash
16,Cottinfab,Olive Green Solid Cold-Shoulder Jumpsuit,Rs. 860,,,,,,Concealed Zip,,,,7846797,Polyester,Round Neck,2,Solid,Short Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
17,Cottinfab,Women Burgundy Solid Basic Jumpsuit,Rs. 835,,,,,,Concealed Zip,,,,10961164,Polyester,Round Neck,,Solid,Sleeveless,Gathers,Basic Jumpsuit,,,Machine Wash
18,DOROTHY PERKINS,Women Black &amp; Off-White Printed Off-Shoulder Basic Jumpsuit,Rs. 1794,,,,,,,,,,12126394,Viscose Rayon,Off-Shoulder,2,Printed,Sleeveless,Gathers,Basic Jumpsuit,,,Machine Wash
19,Athena,Women Pink Solid Basic Jumpsuit,Rs. 1249,,,,,,Concealed Zip,,,,11634540,Polyester,Round Neck,,Solid,Sleeveless,,Basic Jumpsuit,,,Hand Wash
20,SIRIKIT,Women Mustard Brown &amp; Black Striped Basic Jumpsuit,Rs. 664,,,,,,Concealed Zip,,,,12040610,Polyester,Shoulder Straps,,Striped,Sleeveless,,Basic Jumpsuit,,,Machine Wash
21,StyleStone,Women Blue Denim Jumpsuit,Rs. 879,,,,,,,,,,1893076,Cotton,Shirt Collar,,Solid,Sleeveless,,,,,Machine Wash
22,Mast &amp; Harbour,Women Teal Blue Solid Basic Jumpsuit,Rs. 1099,,,,,,Button,,,,12204574,Viscose Rayon,Shirt Collar,2,Solid,Three-Quarter Sleeves,Waist Tie-Ups,,Casual,,
23,FabAlley,Women Green &amp; White Striped Basic Jumpsuit,Rs. 1100,,,,,,,,,,10957104,Polyester,V-Neck,2,Striped,Sleeveless,,Basic Jumpsuit,,,Machine Wash
24,Sera,Blue &amp; Peach-Coloured Printed Playsuit,Rs. 647,,,,,,,,,,3452046,Polyester,Shoulder Straps,,Printed,Sleeveless,Gathers,Playsuit,,,Machine Wash
25,Miss Chase,Burgundy Solid Stylised Neck Party Jumpsuit,Rs. 1159,,,,,,Zip,,,,10807960,Polyester,Cowl Neck,2,Solid,Sleeveless,,Basic Jumpsuit,,,Hand Wash
26,GERUA,Women Yellow &amp; White Printed Culotte Jumpsuit,Rs. 499,,,,,,Concealed Zip,,,,10520920,Cotton,Round Neck,2,Printed,Sleeveless,Gathers,Culotte Jumpsuit,,,
27,Cottinfab,Women Mustard Yellow Solid Basic Jumpsuit,Rs. 859,,,,,,Concealed Zip,,,,10053761,Polyester,Round Neck,,Solid,Sleeveless,Gathers,Basic Jumpsuit,,,Machine Wash
28,Cottinfab,Women Green Solid Basic Jumpsuit,Rs. 859,,,,,,Button,,,,10053779,Polyester,Shirt Collar,2,Solid,Short Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
29,Miss Chase,Black Solid Basic Jumpsuit,Rs. 1999,,,,,,Concealed Zip,,,,10429890,Polyester,Round Neck,2,Solid,Three-Quarter Sleeves,,Basic Jumpsuit,,,Hand Wash
30,StyleStone,Women Maroon Printed Jumpsuit,Rs. 719,,,,,,,,,,2230691,Polyester,V-Neck,,Printed,Sleeveless,Waist Tie-Ups,Culotte Jumpsuit,,,Machine Wash
31,FabAlley,Women Pink &amp; Black Striped Basic Jumpsuit,Rs. 1100,,,,,,Concealed Zip,,,,11466784,Viscose Rayon,Shoulder Straps,2,Striped,Sleeveless,,Basic Jumpsuit,,,Machine Wash
32,SIRIKIT,Women Black &amp; White Printed Basic Jumpsuit,Rs. 664,,,,,,Concealed Zip,,,,11752310,Polyester,Square Neck,,Printed,Sleeveless,,Basic Jumpsuit,,,Machine Wash
33,Miss Chase,White Sequined Panel Party Jumpsuit,Rs. 1279,,,,,,Zip,,,,10807970,Polyester,Halter Neck,2,Solid,Sleeveless,Embellished,Basic Jumpsuit,,,
34,Sera,Women Off-White &amp; Pink Printed Basic Jumpsuit,Rs. 947,,,,,,Concealed Zip,,,,10783332,Viscose Rayon,Round Neck,,Printed,Sleeveless,Gathers,Basic Jumpsuit,,,Machine Wash
35,Shae by SASSAFRAS,Women Off-White &amp; Mustard Yellow Ikat Print Basic Cropped Jumpsuit,Rs. 719,,,,,,Hook,,,,11636344,Cotton,Round Neck,2,Printed,Short Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
36,Mast &amp; Harbour,Women White &amp; Blue Striped Playsuit,Rs. 1169,,,,,,Button,,,,11304258,Viscose Rayon,V-Neck,2,Striped,Short Sleeves,Gathers,,Casual,,
37,DressBerry,Women Navy Blue Solid Cropped Basic Jumpsuit,Rs. 629,,,,,,Concealed Zip,,,,11272508,Polyester,Round Neck,2,Solid,Sleeveless,Layered,Basic Jumpsuit,,,
38,Uptownie Lite,Women Green Solid Basic Jumpsuit,Rs. 850,,,,,,Zip,,,,11322088,Polyester,Round Neck,,Solid,Short Sleeves,Ruffles,Basic Jumpsuit,,,Machine Wash
39,Crimsoune Club,Women Orange Printed Basic Jumpsuit,Rs. 1399,,,,,,Zip,,,,12485540,Cotton,Round Neck,2,Printed,Three-Quarter Sleeves,,Basic Jumpsuit,Casual,,
40,Zima Leto,Women Pink &amp; Green Floral Print Basic Jumpsuit,Rs. 881,,,,,,Concealed Zip,,,,10881760,Polyester,V-Neck,,Printed,Short Sleeves,,Basic Jumpsuit,,,Machine Wash
41,Athena,Women Black Solid Basic Jumpsuit,Rs. 1249,,,,,,Concealed Zip,,,,11644204,Polyester,Shawl Neck,2,Solid,Sleeveless,,Basic Jumpsuit,,,Hand Wash
42,Athena,Women Burgundy Solid Basic Jumpsuit,Rs. 1749,,,,,,,,,,11634534,Polyester,Shoulder Straps,2,Solid,Sleeveless,,Basic Jumpsuit,,,Hand Wash
43,SASSAFRAS,Women Maroon Solid Basic Jumpsuit,Rs. 769,,,,,,,,,,10833302,Polyester,Off-Shoulder,,Solid,Short Sleeves,,Basic Jumpsuit,,,Dry Clean
44,U&amp;F,Women Grey &amp; White Floral Printed Cropped Basic Jumpsuit,Rs. 577,,,,,,Concealed Zip,,,,12349228,Polyester,Square Neck,2,Printed,Short Sleeves,Ruffles,,Casual,,
45,MsFQ,Multicoloured Printed Basic Jumpsuit,Rs. 930,,,,,,Concealed Zip,,,,9073231,Viscose Rayon,V-Neck,,Printed,Short Sleeves,,Basic Jumpsuit,,,Machine Wash
46,MANGO,Women Yellow Solid Cropped Basic Jumpsuit,Rs. 3354,,,,,,Concealed Zip,,,,11842364,Polyester,V-Neck,,Solid,Short Sleeves,Ruffles,Basic Jumpsuit,,,Machine Wash
47,FabAlley,Women Yellow &amp; Black Striped Basic Jumpsuit,Rs. 1100,,,,,,Concealed Zip,,,,10339121,Polyester,Shoulder Straps,2,Striped,Sleeveless,Waist Tie-Ups,Basic Jumpsuit,,,
48,Jompers,Women Purple Solid Basic Jumpsuit,Rs. 989,,,,,,Concealed Zip,,,,11526270,Polyester,V-Neck,2,Solid,Long Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
49,MABISH by Sonal Jain,Women Pink &amp; Golden Dhoti Style Printed Basic Jumpsuit,Rs. 1594,,,,,,Concealed Zip,,,,10800222,Viscose Rayon,Mandarin Collar,,Printed,Three-Quarter Sleeves,Ruffles,Basic Jumpsuit,,,Dry Clean
50,Deewa,Women Red &amp; Black Printed Cold-Shoulder Basic Jumpsuit,Rs. 747,,,,,,Button,,,,10579786,Polyester,Mandarin Collar,2,Printed,Three-Quarter Sleeves,Gathers,Basic Jumpsuit,,,
51,KASSUALLY,Women Mustard Yellow Solid Basic Jumpsuit,Rs. 696,,,,,,,,,,11334574,Polyester,V-Neck,,Solid,Sleeveless,Gathers,Basic Jumpsuit,,,Hand Wash
52,Uptownie Lite,Women Burgundy Solid Basic Jumpsuit with Belt,Rs. 791,,,,,,Concealed Zip,,,,11234652,Polyester,Round Neck,2,Solid,Sleeveless,,Basic Jumpsuit,,,Machine Wash
53,Moda Rapido,Black Solid Culotte Jumpsuit,Rs. 899,,,,,,,,,,8785797,Polyester,V-Neck,2,Solid,Long Sleeves,Gathers,Culotte Jumpsuit,,,Machine Wash
54,Athena,Women Black Solid Basic Jumpsuit,Rs. 1749,,,,,,Concealed Zip,,,,11634538,Polyester,Shoulder Straps,2,Solid,Sleeveless,,Basic Jumpsuit,,,Hand Wash
55,Athena,Women Pink Solid Basic Jumpsuit,Rs. 1749,,,,,,Concealed Zip,,,,11634546,Polyester,Shoulder Straps,2,Solid,Sleeveless,,Basic Jumpsuit,,,Hand Wash
56,PURYS,Women Navy Blue &amp; Coral Striped Playsuit,Rs. 688,,,,,,,,,,6382209,Polyester,Round Neck,2,Striped,Sleeveless,,Playsuit,,,Machine Wash
57,FabAlley,Women Maroon Solid Basic Jumpsuit,Rs. 1100,,,,,,,,,,10956970,Polyester,Shoulder Straps,2,Solid,Short Sleeves,,Basic Jumpsuit,,,Machine Wash
58,Athena,Women White Solid Basic Jumpsuit,Rs. 1224,,,,,,Zip,,,,11634548,Polyester,Off-Shoulder,,Solid,Short Sleeves,,Basic Jumpsuit,,,Hand Wash
59,MABISH by Sonal Jain,Women Green &amp; Golden Printed Basic Jumpsuit,Rs. 1367,,,,,,Concealed Zip,,,,10800242,Viscose Rayon,V-Neck,,Printed,Sleeveless,,Basic Jumpsuit,,,Dry Clean
60,Athena,Women Green Solid Basic Jumpsuit,Rs. 1249,,,,,,Concealed Zip,,,,11644200,Polyester,Shawl Neck,2,Solid,Sleeveless,,Basic Jumpsuit,,,Hand Wash
61,Tokyo Talkies,Women Navy Blue Solid Basic Jumpsuit,Rs. 804,,,,,,Button,,,,10923656,Cotton,Mandarin Collar,,Solid,Three-Quarter Sleeves,,Basic Jumpsuit,,,Machine Wash
62,MANGO,Women Red Solid One-Shoulder Cropped Basic Jumpsuit,Rs. 3354,,,,,,Concealed Zip,,,,11842366,Polyester,Off-Shoulder,,Solid,Short Sleeves,Ruffles,Basic Jumpsuit,,,Machine Wash
63,Cottinfab,Mustard Yellow Solid Cold-Shoulder Jumpsuit,Rs. 779,,,,,,Concealed Zip,,,,7846771,Polyester,Round Neck,2,Solid,Three-Quarter Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
64,Divena,Women Maroon Printed Basic Jumpsuit,Rs. 1399,,,,,,Concealed Zip,,,,10987770,Viscose Rayon,Round Neck,,Printed,Short Sleeves,,Basic Jumpsuit,,,Dry Clean
65,FabAlley,Women Green &amp; White Striped Basic Jumpsuit,Rs. 1100,,,,,,,,,,10957104,Polyester,V-Neck,2,Striped,Sleeveless,,Basic Jumpsuit,,,Machine Wash
66,Marie Claire,Brown Solid Basic Jumpsuit,Rs. 1214,,,,,,Zip,,,,7467395,Polyester,V-Neck,,Solid,Sleeveless,Layered,Basic Jumpsuit,,,Hand Wash
67,DressBerry,Women Red &amp; Black Striped Culotte Jumpsuit,Rs. 1043,,,,,,Concealed Zip,,,,10162631,Polyester,V-Neck,2,Striped,Short Sleeves,,Culotte Jumpsuit,,,Machine Wash
68,Divena,Women Black Printed  Dhoti Style Jumpsuit,Rs. 1399,,,,,,Concealed Zip,,,,10987764,Cotton,Round Neck,,Printed,Short Sleeves,,Basic Jumpsuit,,,Dry Clean
69,H&amp;M,Women Silver-Toned Sequined Playsuit,Rs. 2999,,,,,,,,,,12772970,Polyester,V-Neck,,Self Design,Long Sleeves,Embellished,Playsuit,Party,Regular,
70,Eavan,Women Blue Solid Basic Jumpsuit,Rs. 1439,,,,,,Concealed Zip,,,,12515866,Polyester,Round Neck,2,Solid,Three-Quarter Sleeves,,,Casual,Regular,
71,MAGRE,Women Black Solid Basic Jumpsuit,Rs. 1349,,,,,,Concealed Zip,,,,11106450,Polyester,V-Neck,,Solid,Sleeveless,,Basic Jumpsuit,,,Hand Wash
72,MANGO,Women Off-White Solid One-Shoulder Cropped Basic Jumpsuit,Rs. 3354,,,,,,Concealed Zip,,,,11842368,Polyester,Off-Shoulder,,Solid,Short Sleeves,Ruffles,Basic Jumpsuit,,,Machine Wash
73,FabAlley,Women Pink &amp; Black Striped Basic Jumpsuit,Rs. 1100,,,,,,Concealed Zip,,,,11466784,Viscose Rayon,Shoulder Straps,2,Striped,Sleeveless,,Basic Jumpsuit,,,Machine Wash
74,Ives,Women Olive Green Solid Basic Jumpsuit,Rs. 749,,,,,,Button,,,,12016622,Polyester,V-Neck,,Solid,Short Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,Machine Wash
75,Ives,Women Brown Solid Basic Jumpsuit,Rs. 749,,,,,,Button,,,,10262453,Polyester,V-Neck,,Solid,Short Sleeves,,Basic Jumpsuit,,,Machine Wash
76,AND,Women Navy Blue &amp; Grey Solid Basic Jumpsuit,Rs. 899,,,,,,Zip,,,,10558422,Cotton,Round Neck,2,Solid,Short Sleeves,Gathers,Basic Jumpsuit,,,
77,DOROTHY PERKINS,Petite Women Black &amp; Pink Floral Printed Basic Jumpsuit,Rs. 2994,,,,,,Button,,,,12311156,Viscose Rayon,V-Neck,2,Printed,Short Sleeves,,Basic Jumpsuit,Casual,,
78,H&amp;M,Black &amp; White Patterned Playsuit,Rs. 1499,,,,,,,,,,12507582,Viscose Rayon,Shoulder Straps,2,Printed,Sleeveless,,Playsuit,Casual,Regular,
79,U&amp;F,Women Pink &amp; Black Printed Basic Jumpsuit,Rs. 611,,,,,,Concealed Zip,,,,11028542,Polyester,Round Neck,2,Printed,Short Sleeves,,Basic Jumpsuit,,,Machine Wash
80,Deewa,Women Yellow &amp; Navy Blue Striped Cold-Shoulder Basic Jumpsuit,Rs. 759,,,,,,Button,,,,11745704,Polyester,Shirt Collar,2,Striped,Short Sleeves,Gathers,Basic Jumpsuit,,,
81,Crimsoune Club,Women Orange Printed Basic Jumpsuit,Rs. 1399,,,,,,Zip,,,,12485540,Cotton,Round Neck,2,Printed,Three-Quarter Sleeves,,Basic Jumpsuit,Casual,,
82,MANGO,Women Blue Denim Solid Basic Jumpsuit,Rs. 4192,,,,,,Button,,,,12677068,Cotton,Shirt Collar,2,Solid,Long Sleeves,,,Casual,Regular,
83,MABISH by Sonal Jain,Women Green &amp; Golden Dhoti Style Printed Basic Jumpsuit,Rs. 1594,,,,,,Concealed Zip,,,,10800250,Viscose Rayon,Mandarin Collar,,Printed,Three-Quarter Sleeves,Layered,Basic Jumpsuit,,,Dry Clean
84,Tokyo Talkies,Women Black &amp; White Checked Basic Jumpsuit with Belt,Rs. 874,,,,,,Concealed Zip,,,,10051297,Polyester,Round Neck,2,Checked,Sleeveless,,Basic Jumpsuit,,,Machine Wash
85,QUIERO,Women Navy Blue &amp; White Floral Print Buttib Front Jumpsuit,Rs. 794,,,,,,Button,,,,8856657,Polyester,Shoulder Straps,2,Printed,Sleeveless,,Basic Jumpsuit,,,Machine Wash
86,Tokyo Talkies,Women Brown &amp; Grey Snake Printed Basic Jumpsuit,Rs. 674,,,,,,,,,,12479220,Viscose Rayon,V-Neck,2,Printed,Short Sleeves,Waist Tie-Ups,Basic Jumpsuit,Casual,,
87,KASSUALLY,Women Navy Blue Solid Basic Jumpsuit,Rs. 696,,,,,,Concealed Zip,,,,11334570,Polyester,Round Neck,2,Solid,Sleeveless,Embellished,Basic Jumpsuit,,,
88,Cottinfab,Women Burgundy Solid Basic Jumpsuit,Rs. 859,,,,,,Button,,,,10053731,Polyester,Shirt Collar,2,Solid,Three-Quarter Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
89,FabAlley,Women Yellow &amp; Black Striped Basic Jumpsuit,Rs. 1100,,,,,,Concealed Zip,,,,10339121,Polyester,Shoulder Straps,2,Striped,Sleeveless,Waist Tie-Ups,Basic Jumpsuit,,,
90,Marks &amp; Spencer,Women Navy Blue &amp; White Star Print Basic Cropped Jumpsuit,Rs. 3499,,,,,,Button,,,,12160590,Viscose Rayon,Round Neck,2,Printed,Sleeveless,Gathers,Basic Jumpsuit,,,
91,U&amp;F,Women Black &amp; Brown Printed Basic Jumpsuit,Rs. 611,,,,,,Concealed Zip,,,,11028536,Polyester,Round Neck,2,Printed,Short Sleeves,,Basic Jumpsuit,,,Machine Wash
92,DOROTHY PERKINS,Women  Orange &amp; White Printed Culotte Jumpsuit,Rs. 2793,,,,,,Concealed Zip,,,,10270539,Polyester,Shoulder Straps,,Printed,Sleeveless,,Culotte Jumpsuit,,,Machine Wash
