,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Fabric,Fabric 2,Fabric 3,Main Trend,Multipack Set,Neck,Occasion,Sleeve Length,Sleeve Styling,Surface Styling,Transparency,Type,Fabric Type,Pattern,Collar,Hemline,Placket,Lining,Character,Number of Pockets,Wash Care
0,ether,ETHER Women Black Solid High Neck T-shirt,Rs. 269,,Regular,Regular Fit,,,,,,,11900404,Polyester,Viscose Rayon,Elastane,New Basics,Single,High Neck,,,,,,,,,,,,,,,
1,Marks &amp; Spencer,Women White Solid Round Neck T-shirt,Rs. 799,,Regular,Regular Fit,,,,,,,11531560,Polyester,Viscose Rayon,,New Basics,Single,Round Neck,Casual,,,,,,,,,,,,,,
2,Roadster,Women Maroon Solid Top,Rs. 329,,Regular,,,Solid,,,,,1753481,,,,,,Round Neck,,Short Sleeves,Regular Sleeves,Applique,Opaque,Regular,,,,,,,,,
3,KASSUALLY,Women Black Solid Peplum Top,Rs. 454,,,,,Solid,Hook and Eye,,,,11915386,,,,,,High Neck,,Three-Quarter Sleeves,Puff Sleeves,Twisted,Opaque,Peplum,,,,,,,,,
4,SASSAFRAS,Women Black Solid Semi-Sheer Longline A-Line Top,Rs. 519,,Longline,,,Solid,,,,,9070277,,,,New Basics,,Round Neck,,Short Sleeves,Regular Sleeves,,Semi Sheer,A-Line,,,,,,,,,
5,Everlush,Women Black Self Design Fitted Top,Rs. 799,,Crop,,,Solid,,,,,12710872,,,,,,Shoulder Straps,,Sleeveless,Shoulder Straps,,Opaque,Fitted,Cotton,,,,,,,,
6,DOROTHY PERKINS,Women White Solid Puff Sleeves Top,Rs. 1794,,,,,Solid,Button,,,,12311074,,,,,,Round Neck,,Short Sleeves,Puff Sleeves,Ruffles,Opaque,Regular,,,,,,,,,
7,Roadster,Women Black Solid Round Neck T-shirt,Rs. 259,,Regular,Regular Fit,,,,,,,2107234,Cotton,,,New Basics,Single,Round Neck,Casual,,,,,,,Solid,,,,,,,
8,SASSAFRAS,Women Maroon Solid Semi-Sheer Tiered Maxi Top,Rs. 699,,,,,Solid,Button,,,,11364420,,,,,,Mandarin Collar,,Three-Quarter Sleeves,Regular Sleeves,Gathered or Pleated,Semi Sheer,Tiered,,,,,,,,,
9,SASSAFRAS,Women White Solid Blouson Top,Rs. 399,,,,,Solid,Button,,,,11364152,,,,,,Round Neck,,Three-Quarter Sleeves,Extended Sleeves,Tie-Ups,Semi Sheer,Blouson,,,,,,,,,
10,Reebok,Women Blue Supply Activchill + Cotton Solid Styled Back Top,Rs. 1979,,Regular,,,Solid,,,,,11712514,,,,,,Round Neck,,Sleeveless,No Sleeves,Cut Out,Opaque,Styled Back,,,,,,,,,
11,Pannkh,Women Navy Blue Printed Top,Rs. 519,,Regular,,,Ethnic Motifs,,,,,2506738,,,,,,Round Neck,,Three-Quarter Sleeves,Regular Sleeves,Gathered or Pleated,Opaque,Regular,,,,,,,,,
12,SASSAFRAS,Women Black Solid Styled Back Top,Rs. 439,,,,,Solid,Hook and Eye,,,,1510828,,,,,,Mandarin Collar,,Long Sleeves,Cuffed Sleeves,Studded,Opaque,Styled Back,,,,,,,,,
13,DOROTHY PERKINS,Women Blue Schiffli Embroidered Top,Rs. 2093,,,,,Geometric,Button,,,,12311068,,,,,,Round Neck,,Short Sleeves,Flutter Sleeves,Lace Inserts,Semi Sheer,Regular,,,,,,,,,
14,Kazo,Women Green Printed Top,Rs. 1290,,Regular,,,Floral,,,,,12809786,,,,Floral Print,,Shoulder Straps,,Sleeveless,No Sleeves,,Opaque,Regular,,,,,,,,,
15,plusS,Women Coral Pink &amp; Black Printed Top,Rs. 424,,,,,Floral,Button,,,,9657057,,,,,,Round Neck,,Long Sleeves,Bell Sleeves,Gathered or Pleated,Opaque,Regular,,,,,,,,,
16,DOROTHY PERKINS,Women Off-White &amp; Black Regular Fit Polka Dots Print Casual Shirt,Rs. 1943,,Regular,Regular Fit,,Polka Dots,,,,,12126040,,,,,,,Casual,Short Sleeves,,,,,,,Cuban Collar,Curved,Button Placket,,,,
17,KASSUALLY,Women Mustard Yellow Solid Peplum Top,Rs. 454,,,,,Solid,Button,,,,11173660,,,,,,High Neck,,Long Sleeves,Puff Sleeves,Gathered or Pleated,Opaque,Peplum,,,,,,,,,
18,H&amp;M,Women White Solid Cotton Shirt,Rs. 799,,Regular,Regular Fit,,Solid,,,,,12716228,,,,,,,Casual,Long Sleeves,,,,,,,Spread Collar,Curved,Button Placket,,,,
19,Sangria,Women Blue Printed A-Line Top,Rs. 359,,,,,Ethnic Motifs,Button,,,,8349519,,,,,,Mandarin Collar,,Three-Quarter Sleeves,Bell Sleeves,Gathered or Pleated,Opaque,A-Line,,,,,,,,,
20,SASSAFRAS,Women Green Ruffled Shirt Style Top,Rs. 399,,,,,Solid,Button,,,,1052250,,,,,,Mandarin Collar,,Long Sleeves,Puff Sleeves,Ruffles,Opaque,Shirt Style,,,,,,,,,
21,Roadster,Women Pink &amp; Navy Blue Colorblocked Top with Knot Detail,Rs. 299,,Regular,,,Solid,Button,,,,8338965,,,,,,High Neck,,Three-Quarter Sleeves,Regular Sleeves,,Opaque,Regular,,,,,,,,,
22,DOROTHY PERKINS,Women Beige &amp; Black Polka Dots Printed Top,Rs. 1943,,,,,Polka Dots,Button,,,,12311114,,,,,,Mandarin Collar,,Long Sleeves,Roll-Up Sleeves,Gathered or Pleated,Opaque,Regular,,,,,,,,,
23,plusS,Women Pink Embellished Top,Rs. 569,,,,,Embellished,Button,,,,8126501,,,,,,Round Neck,,Short Sleeves,Regular Sleeves,Lace-Up,Semi Sheer,Regular,,,,,,,,,
24,Roadster,Women Mustard Yellow Solid Boat Neck T-shirt,Rs. 329,,Regular,Regular Fit,,,,,,,1753419,Cotton,,,New Basics,Single,Boat Neck,Casual,,,,,,,Solid,,,,,,,
25,HERE&amp;NOW,Women Blue Printed A-Line Top,Rs. 559,,Regular,,,Ethnic Motifs,,,,,4606514,,,,,,Round Neck,,Three-Quarter Sleeves,Bell Sleeves,Gathered or Pleated,Opaque,A-Line,,,,,,,,,
26,DILLINGER,Women Burgundy Printed Round Neck Longline T-shirt,Rs. 395,,Longline,Regular Fit,,,,,,,10877284,Cotton,,,Typography or Slogan Prints,Single,Round Neck,Casual,,,,,,,Printed,,,,,,,
27,Everlush,Women Maroon Solid Crop Top,Rs. 799,,Crop,,,Solid,,,,,12712514,,,,,,Halter Neck,,Sleeveless,Shoulder Straps,,Opaque,Regular,Cotton,,,,,,,,
