,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Hemline,Knit or Woven,Surface Styling,Transparency,Type,specifications,Lining,Number of Pockets,Occasion,Slit Detail
0,HERE&amp;NOW,Blooming Beauty Tiered Maxi Skirt,Rs. 719,,Maxi,,,Floral,Drawstring,,,,4914118,Flared,Knitted,Gathered or Pleated,Opaque,Flared,{},,,,
1,SASSAFRAS,Women Burgundy Accordian Pleat Maxi Flared Skirt,Rs. 639,,Maxi,,,Solid,Slip-On,,,,10308667,Flared,Woven,Gathered or Pleated,,Flared,{},Has a lining,,,
2,Reebok,Women Black Epic 2-1 Regular Fit Self-Checked Training Shorts,Rs. 2249,Mid-Rise,Above Knee,Slim Fit,,Checked,Drawstring,,,,11574224,,,,,Sports Shorts,{},,2,Sports,
3,Varanga,Women Off White Cotton Printed Maxi Skirt,Rs. 689,,Maxi,,,Geometric,Drawstring,,,,7200118,Flared,Woven,Tie-Ups,Opaque,Flared,{},,,,
4,KASSUALLY,Women Pink &amp; Black Colourblocked Pleated A-Line Skirt,Rs. 759,,Midi,,,Colourblocked,Slip-On,,,,12395272,Flared,Woven,Gathered or Pleated,,A-Line,{},,,,No Slit
5,Roadster,Women Black Washed Regular Fit Raw Hem Denim Shorts,Rs. 559,Mid-Rise,Above Knee,Regular Fit,,Washed,Drawstring,,,,11541730,,,,,Denim Shorts,{},,4,Casual,
6,Varanga,Women Magenta &amp; Golden Khadi Print Flared Maxi Skirt,Rs. 883,,Maxi,,,Floral,Zip,,,,10653784,Flared,Woven,Gathered or Pleated,,Flared,{},,,,No Slit
7,Varanga,Women Pink and Blue Dyed Maxi Flared Skirt,Rs. 739,,Maxi,,,Tie and Dye,Slip-On,,,,11494284,Flared,Woven,,Opaque,Flared,{},,,Ethnic,
8,Besiva,Women Black Solid Regular Fit Hot Pants,Rs. 799,Mid-Rise,Above Knee,Regular Fit,,Solid,Drawstring,,,,12510526,,Knitted,,,Hot Pants,{},,,Casual,
9,Varanga,Women Lime Green &amp; Blue Dyed Flared Maxi Skirt,Rs. 579,,Maxi,,,Tie and Dye,Drawstring,,,,11299834,Flared,Woven,Gathered or Pleated,Opaque,Flared,{},,,,
